Car	City_University	Cost	BPP	Design	ACC	DV_ACC	SkidPad	DV_SkidPad	AutoX	Endu	Effic	Penalties	Overall_Scores	Overall_Placing
99	Aachen RWTH	88,21	74,00	115,00	47,36	0,00	25,26	0,00	100,00	250,00	68,20	0,00	768,03	1
33	Zürich ETH	94,03	55,30	150,00	50,00	0,00	30,09	69,77	74,43	151,60	67,07	0,00	742,28	2
77	Stuttgart DHBW	91,12	50,12	80,00	39,40	64,77	35,56	61,05	63,57	185,72	46,15	0,00	717,46	3
63	Trondheim NTNU	97,00	70,00	110,00	39,73	0,00	43,60	0,00	57,56	190,01	75,00	0,00	682,89	4
94	Esslingen UAS	95,00	61,32	100,00	36,17	0,00	31,99	0,00	59,44	153,84	33,99	10,00	561,76	5
124	Tallinn TU UAS	70,77	65,10	120,00	38,82	0,00	47,59	0,00	40,53	143,27	33,77	0,00	559,85	6
120	Karlsruhe KIT	74,64	73,00	135,00	37,53	73,30	25,38	75,00	31,59	0,00	0,00	0,00	525,43	7
26	Stuttgart U	91,12	70,00	110,00	46,35	71,59	50,00	0,00	65,25	0,00	0,00	0,00	504,31	8
50	Lisboa IST	78,52	57,96	100,00	28,16	68,18	14,59	64,53	4,50	53,09	0,00	0,00	469,53	9
74	Brno TU	56,22	45,92	115,00	17,46	0,00	28,55	0,00	16,81	129,42	33,95	0,00	443,33	10
78	Hamburg TU	74,64	54,32	85,00	30,27	66,48	35,75	68,02	4,50	0,00	0,00	0,00	418,98	11
85	Delft TU	100,00	67,62	130,00	0,00	69,89	34,20	0,00	15,67	0,00	0,00	0,00	417,38	12
40	Eindhoven TU	77,55	55,16	115,00	33,76	0,00	3,50	71,51	36,67	0,00	0,00	0,00	393,15	13
31	München TU	54,29	63,98	100,00	43,73	75,00	35,15	0,00	18,13	0,00	0,00	0,00	390,28	14
90	Milano PT	63,01	75,00	100,00	14,54	0,00	3,50	66,28	4,50	50,48	0,00	0,00	377,31	15
95	Göteborg Chalmers	81,43	50,68	100,00	0,00	0,00	31,82	73,26	39,25	0,00	0,00	0,00	376,43	16
14	Budapest TU	48,47	45,50	95,00	31,02	0,00	40,05	62,79	50,44	0,00	0,00	0,00	373,27	17
123	Amberg OTH	73,67	32,75	80,00	0,00	0,00	0,00	0,00	35,30	138,38	22,93	30,00	353,02	18
88	Montréal ETS	80,46	63,84	100,00	37,53	0,00	35,17	0,00	50,62	0,00	0,00	35,00	332,62	19
113	München UAS	72,70	66,08	110,00	0,00	0,00	37,57	0,00	45,68	0,00	0,00	0,00	332,03	20
34	Ingolstadt UAS	77,55	56,98	110,00	29,11	0,00	25,78	0,00	12,07	0,00	0,00	0,00	311,50	21
59	Dresden TU	84,34	68,74	100,00	42,00	0,00	28,04	0,00	6,32	0,00	0,00	20,00	309,44	22
42	Ulm UAS	98,00	69,16	80,00	26,34	0,00	26,98	0,00	4,50	0,00	0,00	0,00	304,98	23
25	Athens TU	95,00	63,00	90,00	18,60	0,00	23,20	0,00	30,38	0,00	0,00	20,00	300,18	24
131	Berlin TU	92,09	54,74	105,00	16,82	0,00	27,27	0,00	0,00	0,00	0,00	0,00	295,91	25
44	Deggendorf IT	78,52	55,72	60,00	5,94	0,00	3,50	59,30	4,50	25,00	0,00	0,00	292,48	26
97	Schweinfurt UAS	80,46	46,48	55,00	12,67	0,00	0,00	0,00	15,66	66,59	0,00	0,00	276,86	27
60	Weingarten UAS	87,24	67,06	60,00	27,38	0,00	23,72	0,00	7,86	0,00	0,00	0,00	273,26	28
148	Nürnberg GSO UAS	57,19	53,90	70,00	28,74	0,00	20,91	0,00	30,55	0,00	0,00	0,00	261,30	29
54	Barcelona UPC	63,98	63,14	95,00	0,00	0,00	20,64	0,00	30,88	0,00	0,00	20,00	253,64	30
35	Wolfenbüttel UAS Ostfalia	63,98	59,64	75,00	13,36	0,00	22,40	0,00	16,72	0,00	0,00	0,00	251,10	31
196	Hamburg UAS	86,28	49,56	90,00	13,74	0,00	3,50	0,00	4,50	0,00	0,00	0,00	247,58	32
161	Göttingen HAWK	83,37	51,45	60,00	26,79	0,00	15,92	0,00	25,91	0,00	0,00	20,00	243,44	33
110	Augsburg UAS	86,28	52,92	100,00	15,69	0,00	3,50	0,00	4,50	0,00	0,00	20,00	242,89	34
51	Sevilla U	86,28	62,16	80,00	11,12	0,00	0,00	0,00	0,00	0,00	0,00	0,00	239,56	35
62	Regensburg OTH	87,24	48,44	90,00	10,33	0,00	0,00	0,00	0,00	0,00	0,00	0,00	236,01	36
107	Innsbruck U	75,61	56,98	50,00	20,61	0,00	0,00	0,00	28,53	0,00	0,00	0,00	231,73	37
101	Mannheim DHBW	81,43	47,04	90,00	3,50	0,00	4,99	0,00	4,50	0,00	0,00	0,00	231,46	38
13	Corvallis OSU	57,19	49,56	75,00	27,32	0,00	13,28	0,00	16,96	39,93	0,00	50,00	229,24	39
23	Hannover U	87,24	55,86	80,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	223,10	40
111	Trento U	67,86	58,52	70,00	6,36	0,00	14,72	0,00	4,74	0,00	0,00	0,00	222,20	41
127	Lausanne EPFL	82,40	43,82	100,00	0,00	0,00	0,00	0,00	4,50	0,00	0,00	10,00	220,72	42
68	Hsinchu NTHU	43,62	59,92	80,00	32,64	0,00	0,00	0,00	4,50	0,00	0,00	0,00	220,68	43
103	Wrocław TU	61,07	64,12	90,00	7,17	0,00	0,00	0,00	4,50	0,00	0,00	10,00	216,87	44
48	Bochum U	85,31	59,78	50,00	0,00	0,00	10,85	0,00	0,00	0,00	0,00	0,00	205,94	45
49	Erlangen U	99,00	44,52	70,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	10,00	203,52	46
172	Dortmund TU	75,61	48,44	55,00	7,83	0,00	18,78	0,00	4,50	0,00	0,00	10,00	200,17	47
17	Pune PCCOE	88,21	46,48	60,00	0,00	0,00	0,00	0,00	4,50	0,00	0,00	0,00	199,19	48
115	Glasgow U Strath	65,92	46,48	45,00	3,50	0,00	10,17	0,00	26,31	0,00	0,00	0,00	197,38	49
43	Konstanz UAS	77,55	41,30	70,00	3,81	0,00	0,00	0,00	4,50	0,00	0,00	0,00	197,16	50
65	Pisa U	87,24	35,34	80,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	10,00	192,58	51
76	Freiberg TU	86,28	20,50	65,00	3,50	0,00	13,28	0,00	4,50	0,00	0,00	10,00	183,06	52
98	Helsinki UAS	61,07	60,20	70,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	10,00	181,27	53
71	Stockholm KTH	62,04	36,12	80,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	178,16	54
24	Darmstadt TU	61,07	47,88	80,00	0,00	0,00	0,00	0,00	4,50	0,00	0,00	20,00	173,45	55
117	New Delhi IIT	80,46	57,26	50,00	0,00	0,00	0,00	0,00	4,50	0,00	0,00	20,00	172,22	56
32	Porto U	74,64	50,82	60,00	3,50	0,00	3,50	0,00	4,50	0,00	0,00	30,00	166,96	57
72	Bremen U	67,86	49,28	40,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	157,14	58
122	Diepholz UAS	76,58	32,12	50,00	10,50	0,00	3,50	0,00	4,50	0,00	0,00	25,00	152,20	59
20	Magdeburg OvGU	53,32	52,82	40,00	0,00	0,00	3,50	0,00	4,50	0,00	0,00	10,00	144,14	60
149	Landshut UAS	43,62	41,86	50,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	135,48	61
169	Ljubljana U	45,56	31,92	40,00	0,00	0,00	12,66	0,00	4,50	0,00	0,00	0,00	134,64	62
