Car	City_University	run_1_sec	run_1_PT_sec	run_1_DNF	run_1_Cones	run_1_OffCourse	run_1_Disq	run_1_Corr_Time_sec	run_2_sec	run_2_PT_sec	run_2_DNF	run_2_Cones	run_2_OffCourse	run_2_Disq	run_2_Corr_Time_sec	run_3_sec	run_3_PT_sec	run_3_DNF	run_3_Cones	run_3_OffCourse	run_3_Disq	run_3_Corr_Time_sec	run_4_sec	run_4_PT_sec	run_4_DNF	run_4_Cones	run_4_OffCourse	run_4_Disq	run_4_Corr_Time_sec	Best_Time_sec	Penalty	Scores	Placing
99	Aachen RWTH	76,414	0,000	0	5	0	0	86,414	74,751	0,000	0	0	0	0	74,751	72,520	0,000	0	0	0	0	72,520	74,194	0,000	0	0	0	0	74,194	72,520	0	100,00	1
33	Zürich ETH	78,865	0,000	0	3	0	0	84,865	78,440	0,000	0	6	0	0	90,440	79,785	0,000	0	4	1	0	97,785	76,623	0,000	0	0	0	0	76,623	76,623	0	74,43	2
26	Stuttgart U	77,338	0,000	0	6	1	0	99,338	76,211	0,000	0	1	0	0	78,211	76,395	0,000	0	2	0	1	0,000	74,992	0,000	0	1	1	1	0,000	78,211	0	65,25	3
77	Stuttgart DHBW	81,203	0,000	0	3	0	0	87,203	78,510	0,000	0	0	0	0	78,510	80,068	0,000	0	0	0	0	80,068	78,453	0,000	0	1	0	0	80,453	78,510	0	63,57	4
94	Esslingen UAS	81,771	0,000	0	0	0	0	81,771	81,542	0,000	0	0	0	0	81,542	80,613	2,000	0	3	0	0	88,613	77,252	2,000	0	0	0	0	79,252	79,252	0	59,44	5
63	Trondheim NTNU	79,814	0,000	0	1	0	0	81,814	79,595	0,000	0	0	0	0	79,595	77,950	0,000	0	2	0	0	81,950	76,110	0,000	0	4	0	0	84,110	79,595	0	57,56	6
88	Montréal ETS	84,407	0,000	0	1	0	0	86,407	82,303	0,000	0	0	0	0	82,303	80,885	0,000	0	0	0	0	80,885	125,499	0,000	0	0	0	0	125,499	80,885	0	50,62	7
14	Budapest TU	84,628	0,000	0	0	0	0	84,628		0,000	1	0	0	0	0,000	81,922	0,000	0	0	0	0	81,922	78,919	0,000	0	1	0	0	80,919	80,919	0	50,44	8
113	München UAS	94,191	0,000	0	2	0	0	98,191	91,065	0,000	0	4	0	0	99,065	89,480	0,000	0	2	0	0	93,480	81,829	0,000	0	0	0	0	81,829	81,829	0	45,68	9
124	Tallinn TU UAS	86,929	0,000	0	0	0	0	86,929	80,837	0,000	0	1	0	0	82,837	81,218	0,000	0	4	0	0	89,218	82,995	0,000	0	4	1	0	100,995	82,837	0	40,53	10
95	Göteborg Chalmers	86,735	0,000	0	1	0	0	88,735		0,000	1	0	0	0	0,000	84,215	0,000	0	3	0	0	90,215	83,091	0,000	0	0	0	0	83,091	83,091	0	39,25	11
40	Eindhoven TU	88,809	0,000	0	0	0	0	88,809	96,723	0,000	0	5	1	0	116,723	89,802	0,000	0	1	0	0	91,802	83,609	0,000	0	0	0	0	83,609	83,609	0	36,67	12
123	Amberg OTH	85,201	0,000	0	1	0	0	87,201	81,887	0,000	0	1	0	0	83,887		0,000	1	0	0	0	0,000	82,038	0,000	0	1	0	1	0,000	83,887	0	35,30	13
120	Karlsruhe KIT	84,648	0,000	0	0	0	0	84,648	83,454	0,000	0	3	0	0	89,454	82,718	0,000	0	3	0	0	88,718	85,121	0,000	0	4	0	0	93,121	84,648	0	31,59	14
54	Barcelona UPC	92,593	0,000	0	0	0	0	92,593	89,467	0,000	0	0	0	0	89,467	86,117	0,000	0	2	0	0	90,117	84,795	0,000	0	0	0	0	84,795	84,795	0	30,88	15
148	Nürnberg GSO UAS	84,862	0,000	0	0	0	0	84,862	81,871	0,000	0	4	0	0	89,871	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	84,862	0	30,55	16
25	Athens TU	86,873	0,000	0	0	0	0	86,873	82,899	0,000	0	1	0	0	84,899	83,366	0,000	0	1	0	0	85,366	0,000	0,000	0	0	0	0	0,000	84,899	0	30,38	17
107	Innsbruck U	89,126	0,000	0	0	0	0	89,126	85,286	0,000	0	0	0	0	85,286	85,453	0,000	0	0	0	0	85,453	85,310	0,000	0	1	0	0	87,310	85,286	0	28,53	18
115	Glasgow U Strath	89,373	0,000	0	0	0	0	89,373	85,754	0,000	0	0	0	0	85,754	94,068	0,000	0	0	0	0	94,068	108,326	0,000	0	2	0	0	112,326	85,754	0	26,31	19
161	Göttingen HAWK	92,234	0,000	0	4	1	0	110,234	85,839	0,000	0	0	0	0	85,839	86,087	0,000	0	1	0	0	88,087	87,480	0,000	0	0	0	0	87,480	85,839	0	25,91	20
31	München TU		0,000	1	0	0	0	0,000	85,537	0,000	0	1	0	0	87,537	79,526	0,000	0	4	0	0	87,526		0,000	1	0	0	0	0,000	87,526	0	18,13	21
13	Corvallis OSU	83,786	0,000	0	2	0	0	87,786		0,000	1	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	87,786	0	16,96	22
74	Brno TU	85,820	0,000	0	1	0	0	87,820	82,708	0,000	0	4	0	0	90,708	83,366	0,000	0	3	0	0	89,366	82,049	0,000	0	4	0	0	90,049	87,820	0	16,81	23
35	Wolfenbüttel UAS Ostfalia	91,021	0,000	0	1	0	0	93,021	116,549	0,000	0	0	0	0	116,549	82,956	0,000	0	3	0	0	88,956	83,841	0,000	0	2	0	0	87,841	87,841	0	16,72	24
85	Delft TU	88,074	0,000	0	0	0	0	88,074	195,660	0,000	0	0	0	0	195,660	83,499	0,000	0	0	1	0	93,499	0,000	0,000	0	0	0	0	0,000	88,074	0	15,67	25
97	Schweinfurt UAS	98,377	0,000	0	0	0	0	98,377	105,440	0,000	0	0	0	0	105,440	94,227	0,000	0	0	0	0	94,227	88,077	0,000	0	0	0	0	88,077	88,077	0	15,66	26
34	Ingolstadt UAS	92,447	0,000	0	0	0	0	92,447	87,642	0,000	0	3	0	0	93,642	86,888	0,000	0	1	0	0	88,888	84,205	0,000	0	4	0	0	92,205	88,888	0	12,07	27
60	Weingarten UAS	85,860	0,000	0	2	0	0	89,860	81,210	0,000	0	5	0	0	91,210	127,428	2,000	0	0	0	0	129,428	86,646	0,000	0	0	0	1	0,000	89,860	0	7,86	28
59	Dresden TU	80,780	0,000	0	4	1	0	98,780	86,221	0,000	0	2	0	0	90,221	91,431	0,000	0	1	0	0	93,431	95,566	0,000	0	0	0	0	95,566	90,221	0	6,32	29
111	Trento U	91,292	0,000	0	0	0	0	91,292	88,594	0,000	0	1	0	0	90,594	92,730	2,000	0	2	1	1	0,000	151,984	2,000	0	0	0	1	0,000	90,594	0	4,74	30
17	Pune PCCOE	122,191	0,000	0	3	0	0	128,191	215,628	0,000	0	2	0	0	219,628	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	128,191	0	4,50	31
20	Magdeburg OvGU	112,044	0,000	0	0	0	1	0,000	127,678	0,000	0	2	0	1	0,000		0,000	1	0	0	0	0,000	106,881	0,000	0	0	0	0	106,881	106,881	0	4,50	31
24	Darmstadt TU	138,294	0,000	0	0	0	0	138,294	115,447	2,000	0	1	0	0	119,447	94,365	2,000	0	1	0	0	98,365	0,000	0,000	0	0	0	0	0,000	98,365	0	4,50	31
32	Porto U		0,000	1	0	0	0	0,000	132,256	0,000	0	5	0	0	142,256	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	142,256	0	4,50	31
42	Ulm UAS	102,892	0,000	0	0	0	0	102,892	92,708	0,000	0	0	0	0	92,708	117,496	0,000	0	3	0	0	123,496	86,611	0,000	0	1	0	1	0,000	92,708	0	4,50	31
43	Konstanz UAS	94,534	0,000	0	3	0	0	100,534	89,776	0,000	0	3	0	0	95,776	105,599	0,000	0	2	1	0	119,599	92,832	0,000	0	1	0	0	94,832	94,832	0	4,50	31
