Car	City_University	Energy_kWh	Time_sec	Laps	Efficiency_Factor	Scores	Placing
63	Trondheim NTNU	4,931	1490,520	18	10955000,00	75,00	1
99	Aachen RWTH	5,920	1390,840	18	11451900,00	68,20	2
33	Zürich ETH	5,293	1476,170	18	11533900,00	67,07	3
77	Stuttgart DHBW	5,804	1500,190	18	13062300,00	46,15	4
94	Esslingen UAS	5,719	1561,790	18	13949700,00	33,99	5
74	Brno TU	5,514	1590,750	18	13953100,00	33,95	6
124	Tallinn TU UAS	5,705	1564,610	18	13965900,00	33,77	7
123	Amberg OTH	5,849	1588,440	18	14757900,00	22,93	8
13	Corvallis OSU	5,684	1777,740	18	17963500,00	0,00	9
14	Budapest TU	5,776	0,000	18	0,00	0,00	9
17	Pune PCCOE	0,000	0,000	13	0,00	0,00	9
20	Magdeburg OvGU	0,000	0,000	7	0,00	0,00	9
22	Stralsund UAS	0,000	0,000	0	0,00	0,00	9
23	Hannover U	0,000	0,000	0	0,00	0,00	9
24	Darmstadt TU	3,803	0,000	18	0,00	0,00	9
25	Athens TU	0,000	0,000	9	0,00	0,00	9
26	Stuttgart U	0,000	0,000	0	0,00	0,00	9
28	Kassel U	0,000	0,000	0	0,00	0,00	9
31	München TU	0,000	0,000	0	0,00	0,00	9
32	Porto U	0,000	0,000	1	0,00	0,00	9
34	Ingolstadt UAS	0,000	0,000	0	0,00	0,00	9
35	Wolfenbüttel UAS Ostfalia	0,000	0,000	9	0,00	0,00	9
40	Eindhoven TU	4,992	0,000	18	0,00	0,00	9
42	Ulm UAS	0,000	0,000	9	0,00	0,00	9
43	Konstanz UAS	0,000	0,000	1	0,00	0,00	9
44	Deggendorf IT	4,769	0,000	18	0,00	0,00	9
48	Bochum U	0,000	0,000	7	0,00	0,00	9
49	Erlangen U	0,000	0,000	0	0,00	0,00	9
50	Lisboa IST	5,508	1747,680	18	16823600,00	0,00	9
51	Sevilla U	0,000	0,000	3	0,00	0,00	9
53	Lemgo TH OWL	0,000	0,000	15	0,00	0,00	9
54	Barcelona UPC	0,000	0,000	0	0,00	0,00	9
59	Dresden TU	0,000	0,000	8	0,00	0,00	9
60	Weingarten UAS	0,000	0,000	9	0,00	0,00	9
62	Regensburg OTH	0,000	0,000	0	0,00	0,00	9
65	Pisa U	0,000	0,000	0	0,00	0,00	9
68	Hsinchu NTHU	0,000	0,000	8	0,00	0,00	9
71	Stockholm KTH	0,000	0,000	0	0,00	0,00	9
72	Bremen U	0,000	0,000	0	0,00	0,00	9
76	Freiberg TU	0,000	0,000	9	0,00	0,00	9
78	Hamburg TU	0,000	0,000	15	0,00	0,00	9
79	Barcelona EEBE UPC	0,000	0,000	0	0,00	0,00	9
85	Delft TU	0,000	0,000	9	0,00	0,00	9
88	Montréal ETS	0,000	0,000	17	0,00	0,00	9
90	Milano PT	5,405	1770,320	18	16939400,00	0,00	9
95	Göteborg Chalmers	0,000	0,000	6	0,00	0,00	9
97	Schweinfurt UAS	5,756	1748,030	18	17588100,00	0,00	9
98	Helsinki UAS	0,000	0,000	0	0,00	0,00	9
101	Mannheim DHBW	0,000	0,000	5	0,00	0,00	9
103	Wrocław TU	0,000	0,000	0	0,00	0,00	9
107	Innsbruck U	0,000	0,000	16	0,00	0,00	9
110	Augsburg UAS	0,000	0,000	0	0,00	0,00	9
111	Trento U	0,000	0,000	15	0,00	0,00	9
113	München UAS	0,000	0,000	1	0,00	0,00	9
115	Glasgow U Strath	0,000	0,000	11	0,00	0,00	9
117	New Delhi IIT	0,000	0,000	6	0,00	0,00	9
120	Karlsruhe KIT	0,000	0,000	3	0,00	0,00	9
122	Diepholz UAS	4,346	0,000	18	0,00	0,00	9
127	Lausanne EPFL	0,000	0,000	1	0,00	0,00	9
131	Berlin TU	0,000	0,000	0	0,00	0,00	9
140	Duisburg U	0,000	0,000	0	0,00	0,00	9
148	Nürnberg GSO UAS	0,000	0,000	9	0,00	0,00	9
149	Landshut UAS	0,000	0,000	0	0,00	0,00	9
161	Göttingen HAWK	0,000	0,000	2	0,00	0,00	9
164	Kaiserslautern RPTU	0,000	0,000	0	0,00	0,00	9
167	Osnabrück UAS	0,000	0,000	0	0,00	0,00	9
169	Ljubljana U	0,000	0,000	3	0,00	0,00	9
170	Mittweida UAS	0,000	0,000	0	0,00	0,00	9
172	Dortmund TU	3,336	0,000	18	0,00	0,00	9
196	Hamburg UAS	0,000	0,000	9	0,00	0,00	9
800	Enschede U Twente	0,000	0,000	0	0,00	0,00	9
