Car	City_University	Lap1_D1	Lap2_D1	Lap3_D1	Lap4_D1	Lap5_D1	Lap6_D1	Lap7_D1	Lap8_D1	Lap9_D1	Lap10_D2	Lap11_D2	Lap12_D2	Lap13_D2	Lap14_D2	Lap15_D2	Lap16_D2	Lap17_D2	Lap18_D2	total
13	Corvallis OSU	112,43	104,34	97,05	124,70	90,85	94,65	89,66	90,76	94,52	110,54	96,70	101,89	94,08	97,85	96,18	95,84	93,91	91,80	1777,74
14	Budapest TU	93,72	104,66	87,57	87,15	86,45	86,04	89,53	85,50	85,08	85,76	94,99	82,81	85,98	82,95	83,18	84,79	85,33	90,80	1582,28
17	Pune PCCOE	155,10	176,31	138,54	139,74	138,94	159,07	134,24	136,79	127,43	141,80	126,49	153,68	137,00						
20	Magdeburg OvGU	108,41	112,24	109,82	225,66	253,21	283,45	441,76												
22	Stralsund UAS																			
23	Hannover U																			
24	Darmstadt TU	105,81	104,43	99,91	103,17	102,68	101,83	114,73	101,91	102,25	108,22	102,43	100,14	99,06	114,75	118,65	100,06	99,07	97,71	1876,81
25	Athens TU	99,15	90,20	91,68	100,86	92,15	92,51	98,82	91,63	95,73										
26	Stuttgart U																			
28	Kassel U																			
31	München TU																			
32	Porto U	119,83																		
33	Zürich ETH	82,74	81,22	80,14	80,16	79,03	78,59	78,54	77,75	78,98	85,91	84,98	81,93	87,70	85,79	85,46	85,46	81,97	79,81	1476,17
34	Ingolstadt UAS																			
35	Wolfenbüttel UAS Ostfalia	104,67	96,10	89,68	116,24	90,33	91,47	98,67	87,42	100,84										
40	Eindhoven TU	90,39	86,44	94,68	88,04	88,25	87,54	89,51	85,29	86,94	97,53	86,55	88,73	87,03	84,53	84,42	83,70	84,13	84,14	1577,84
42	Ulm UAS	93,64	90,13	104,02	99,88	98,39	130,66	126,02	119,70	121,72										
43	Konstanz UAS	111,82																		
44	Deggendorf IT	108,17	104,18	111,24	102,36	106,90	103,40	100,56	99,93	97,87	114,39	114,06	106,83	103,46	101,94	101,91	103,57	104,10	107,52	1892,38
48	Bochum U	102,72	152,30	129,78	93,43	94,39	111,32	122,73												
49	Erlangen U																			
50	Lisboa IST	109,92	109,50	97,87	94,59	93,49	92,88	93,67	93,03	93,75	93,17	92,96	104,46	98,51	92,77	101,92	101,58	91,30	92,33	1747,68
51	Sevilla U	112,75	102,99	102,65																
53	Lemgo TH OWL	116,67	121,88	109,36	104,88	106,27	106,39	115,56	107,03	108,77	114,87	117,43	113,67	104,53	105,32	104,55				
54	Barcelona UPC																			
59	Dresden TU	86,33	87,86	87,17	80,10	79,16	81,77	78,85	82,57											
60	Weingarten UAS	122,29	107,96	105,31	94,53	97,93	97,12	115,45	108,45	101,94										
62	Regensburg OTH																			
63	Trondheim NTNU	84,52	83,09	81,55	83,13	86,14	81,32	81,15	81,56	81,70	87,69	84,55	82,65	81,90	81,67	80,68	82,47	82,80	81,96	1490,52
65	Pisa U																			
68	Hsinchu NTHU	110,94	97,31	97,91	94,66	95,01	95,51	96,04	98,40											
71	Stockholm KTH																			
72	Bremen U																			
74	Brno TU	88,73	91,18	87,42	84,95	84,14	84,73	83,61	83,42	83,57	91,98	89,85	89,96	93,64	86,79	87,15	89,78	89,91	99,95	1590,75
76	Freiberg TU	99,51	116,27	93,84	101,32	97,51	95,90	91,15	97,28	108,15										
77	Stuttgart DHBW	83,47	82,29	82,62	82,56	82,05	80,98	82,02	81,96	88,34	89,10	81,80	81,52	80,83	84,71	82,75	82,10	82,81	88,29	1500,19
78	Hamburg TU	94,90	96,00	104,16	92,08	92,64	98,49	90,48	93,26	96,91	126,48	100,11	109,91	117,91	89,64	96,27				
79	Barcelona EEBE UPC																			
85	Delft TU	93,35	103,82	85,88	102,13	86,25	84,01	123,07	85,06	92,80										
88	Montréal ETS	87,39	83,65	83,51	83,36	84,57	85,09	83,76	83,56	82,93	84,47	82,13	84,25	82,94	81,69	82,26	81,53	82,80		
90	Milano PT	101,10	90,69	88,72	112,37	87,12	85,69	85,38	100,83	86,06	92,21	87,53	104,08	85,65	91,22	101,85	157,21	110,63	102,01	1770,32
94	Esslingen UAS	87,92	82,62	80,62	80,64	83,29	86,77	85,79	94,04	87,82	103,42	84,34	83,78	84,48	85,33	85,34	88,36	90,54	86,69	1561,79
95	Göteborg Chalmers	108,32	99,03	121,35	141,47	157,70	276,26													
97	Schweinfurt UAS	101,99	100,71	96,15	91,71	95,16	94,32	96,47	92,27	94,74	96,65	92,44	92,52	117,11	96,06	93,40	99,72	98,08	98,54	1748,03
98	Helsinki UAS																			
99	Aachen RWTH	80,42	76,92	76,20	77,04	78,26	77,82	78,01	77,24	76,58	78,58	77,40	77,76	77,64	76,30	77,41	75,59	76,38	75,30	1390,84
101	Mannheim DHBW	112,24	112,06	104,45	101,28	105,60														
103	Wrocław TU																			
107	Innsbruck U	96,71	90,15	104,39	108,47	94,74	97,74	89,83	91,62	91,06	89,84	95,09	88,62	93,02	94,36	93,82	88,96			
110	Augsburg UAS																			
111	Trento U	145,55	135,56	115,67	124,50	133,16	113,90	116,17	108,93	110,60	95,77	118,15	97,46	93,31	91,36	94,90				
113	München UAS	94,44																		
115	Glasgow U Strath	124,00	90,88	89,09	94,31	107,78	94,44	91,97	105,63	125,30	140,26	95,68								
117	New Delhi IIT	146,02	113,67	114,40	113,08	127,01	116,04													
120	Karlsruhe KIT	89,69	102,96	91,16																
122	Diepholz UAS	137,51	123,75	111,08	106,98	106,03	106,16	111,13	106,94	106,08	110,09	108,48	104,72	100,37	104,11	100,17	106,10	99,51	96,08	1945,29
123	Amberg OTH	93,75	88,01	86,33	85,46	84,63	84,26	84,44	86,81	85,21	88,77	89,30	95,17	88,10	93,66	88,11	88,21	86,68	91,57	1588,44
124	Tallinn TU UAS	88,81	85,46	86,77	85,38	88,31	86,76	86,71	87,33	91,45	88,06	85,48	88,12	84,48	83,68	87,31	86,86	89,18	84,47	1564,61
127	Lausanne EPFL	142,16																		
131	Berlin TU																			
140	Duisburg U																			
148	Nürnberg GSO UAS	90,49	94,24	88,92	91,41	87,25	101,45	95,83	88,43	86,98										
149	Landshut UAS																			
161	Göttingen HAWK	89,76	93,00																	
164	Kaiserslautern RPTU																			
167	Osnabrück UAS																			
169	Ljubljana U	120,13	91,75	96,34																
170	Mittweida UAS																			
172	Dortmund TU	107,88	107,80	106,92	105,01	105,05	105,56	111,25	111,57	110,58	112,29	113,19	113,99	111,94	110,91	108,11	107,33	106,24	107,84	1963,44
196	Hamburg UAS	101,72	95,01	93,42	92,48	92,30	93,05	89,61	89,85	90,18										
800	Enschede U Twente																			
