Car	City_University	run_1_1_sec	run_1_2_sec	run_1_PT_sec	run_1_Cones	run_1_DNF	run_1_Disq	run_1_Time_sec	run_2_1_sec	run_2_2_sec	run_2_PT_sec	run_2_Cones	run_2_DNF	run_2_Disq	run_2_Time_sec	Best_Time_sec	Penalty	Scores	Placing
63	Trondheim NTNU	4,765	4,608	0,000	0	0	0	4,687	4,614	4,605	0,000	0	0	0	4,610	4,610	0	50,00	1
85	Delft TU	4,832	4,723	0,000	0	0	0	4,778	4,673	4,697	0,000	0	0	0	4,685	4,685	0	45,87	2
31	München TU	5,018	4,800	0,000	0	0	0	4,909	4,752	4,732	0,000	0	0	0	4,742	4,742	0	42,88	3
124	Tallinn TU UAS	4,970	4,916	0,000	0	0	0	4,943	4,892	4,770	0,000	0	0	0	4,831	4,831	0	38,43	4
41	Wien TU	5,011	4,864	0,000	0	0	0	4,938	4,848	4,871	0,000	0	0	0	4,860	4,860	0	37,05	5
26	Stuttgart U	5,245	4,977	0,000	0	0	0	5,111	4,943	4,794	0,000	0	0	0	4,869	4,869	0	36,62	6
14	Budapest TU	5,212	5,252	0,000	0	0	0	5,232	4,967	4,877	0,000	0	0	0	4,922	4,922	0	34,12	7
13	Berlin TU	5,234	5,099	0,000	0	0	0	5,167	5,045	4,963	0,000	0	0	0	5,004	5,004	0	30,44	8
68	Hsinchu NTHU	5,169	5,044	0,000	0	0	0	5,107	5,184	4,956	0,000	0	0	0	5,070	5,070	0	27,60	9
44	Ulm UAS	5,677	5,697	0,000	0	0	0	5,687	5,115	5,144	0,000	0	0	0	5,130	5,130	0	25,14	10
153	Kiel UAS	5,429	5,244	0,000	0	0	0	5,337	5,145	5,138	0,000	0	0	0	5,142	5,142	0	24,65	11
67	Prague CTU	5,659	5,478	0,000	0	0	0	5,569	5,190	5,140	0,000	0	0	0	5,165	5,165	0	23,71	12
78	Hamburg TU	5,206	5,143	0,000	1	0	0	5,375	5,047	5,291	0,000	0	0	0	5,169	5,169	0	23,55	13
99	Aachen RWTH	5,475	5,214	0,000	0	0	0	5,345	5,385	4,979	0,000	0	0	0	5,182	5,182	0	23,04	14
127	Lausanne EPFL	5,756	5,297	0,000	0	0	0	5,527	5,283	5,208	0,000	0	0	0	5,246	5,246	0	20,58	15
58	Paderborn U	5,169	5,082	0,000	2	0	0	5,526	5,155	5,023	0,000	1	0	0	5,289	5,289	0	18,94	16
33	Zürich ETH	5,604	5,288	0,000	0	0	0	5,446	5,427	5,165	0,000	0	0	0	5,296	5,296	0	18,68	17
177	Stuttgart DHBW	5,751	5,698	0,000	0	0	0	5,725	5,325	5,271	0,000	0	0	0	5,298	5,298	0	18,61	18
110	Augsburg UAS	5,666	5,661	0,000	0	0	0	5,664	5,491	5,199	0,000	0	0	0	5,345	5,345	0	16,90	19
43	Konstanz UAS	5,655	5,417	0,000	0	0	0	5,536	5,358	5,349	0,000	0	0	0	5,354	5,354	0	16,59	20
24	Darmstadt TU	5,525	5,196	0,000	0	0	0	5,361			0,000	0	1	0	0,000	5,361	0	16,34	21
59	Dresden TU			0,000	0	1	0	0,000	5,477	5,471	0,000	0	0	0	5,474	5,474	0	12,42	22
90	Milano PT	5,799	5,986	0,000	0	0	0	5,893	5,638	5,385	0,000	0	0	0	5,512	5,512	0	11,18	23
168	Mannheim UAS	5,899	5,646	0,000	0	0	0	5,773	5,635	5,396	0,000	0	0	0	5,516	5,516	0	11,05	24
45	Sankt Augustin UAS	6,034	5,630	0,000	0	0	0	5,832	5,618	5,416	0,000	0	0	0	5,517	5,517	0	11,00	25
102	Siegen U	5,686	5,706	0,000	0	0	0	5,696	5,549	5,618	0,000	0	0	0	5,584	5,584	0	8,87	26
51	Sevilla U	6,160	5,804	0,000	0	0	0	5,982	5,644	5,604	0,000	0	0	0	5,624	5,624	0	7,60	27
113	München UAS	5,563	5,359	0,300	0	0	0	5,761	5,288	5,052	0,300	1	0	0	5,670	5,670	0	6,20	28
29	Bayreuth U	6,099	5,659	0,000	0	0	0	5,879	5,443	5,513	0,000	1	0	0	5,678	5,678	0	5,96	29
50	Lisboa IST	6,064	5,887	0,000	0	0	0	5,976	5,893	5,702	0,000	0	0	0	5,798	5,798	0	3,50	30
66	Nürnberg GSO UAS	6,086	5,621	0,000	0	0	0	5,854	5,741	5,771	0,000	1	0	0	5,956	5,854	0	3,50	30
69	Mannheim DHBW	7,123	6,601	0,000	0	0	0	6,862	5,852	5,840	0,000	0	0	0	5,846	5,846	0	3,50	30
79	Pforzheim U	7,423	6,987	0,000	2	0	0	7,605	6,116	5,930	0,000	2	0	0	6,423	6,423	0	3,50	30
97	Schweinfurt UAS	6,263	6,027	0,000	0	0	0	6,145	5,881	5,529	0,300	0	0	0	6,005	6,005	0	3,50	30
169	Hamburg UAS	7,213	6,632	0,000	0	0	0	6,923	6,157	6,018	0,000	0	0	0	6,088	6,088	0	3,50	30
12	Wrocław TU	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	36
15	Madrid TU	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	36
16	Winterthur ZHAW	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	36
21	Terrassa ESEIAAT	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	36
23	Amberg OTH	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	36
27	Mumbai Somaiya	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	36
28	Kassel U	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	36
30	Kempten UAS	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	36
34	Ingolstadt UAS	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	36
36	Chemnitz TU	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	36
46	Turin PT	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	36
47	Corvallis OSU	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	36
48	Bochum U	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	36
49	Erlangen U	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	36
54	Barcelona UPC	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	36
55	Be'er Sheva BGU	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	36
60	Weingarten UAS	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	36
