Car	City_University	run_1_sec	run_1_PT_sec	run_1_Cones	run_1_DNF	run_1_Disq	run_1_Corr_Time_sec	run_2_sec	run_2_PT_sec	run_2_Cones	run_2_DNF	run_2_Disq	run_2_Corr_Time_sec	Best_Time_sec	Penalty	Scores	Placing
85	Delft TU	3,428	0,000	0	0	0	3,428	3,478	0,000	0	0	0	3,478	3,428	0	50,00	1
63	Trondheim NTNU	3,514	0,300	0	0	0	3,814	3,449	0,000	0	0	0	3,449	3,449	0	49,15	2
59	Dresden TU	3,507	0,000	0	0	0	3,507	3,459	0,000	0	0	0	3,459	3,459	0	48,75	3
177	Stuttgart DHBW	3,515	0,000	0	0	0	3,515	3,528	0,000	0	0	0	3,528	3,515	0	46,55	4
31	München TU	3,672	0,000	0	0	0	3,672	3,629	0,000	0	0	0	3,629	3,629	0	42,27	5
153	Kiel UAS	3,814	0,000	0	0	0	3,814	3,707	0,000	0	0	0	3,707	3,707	0	39,50	6
45	Sankt Augustin UAS	4,252	0,000	0	0	0	4,252	3,797	0,000	0	0	0	3,797	3,797	0	36,44	7
14	Budapest TU	3,883	0,000	0	0	0	3,883	3,806	0,000	0	0	0	3,806	3,806	0	36,15	8
23	Amberg OTH	3,861	0,000	0	0	0	3,861	3,844	0,000	0	0	0	3,844	3,844	0	34,90	9
41	Wien TU	4,732	0,000	0	0	0	4,732	3,854	0,000	0	0	0	3,854	3,854	0	34,58	10
67	Prague CTU	3,861	0,000	0	0	0	3,861	3,876	0,000	0	0	0	3,876	3,861	0	34,36	11
68	Hsinchu NTHU	3,920	0,000	0	0	0	3,920	3,937	0,000	0	0	0	3,937	3,920	0	32,49	12
113	München UAS	3,976	0,300	0	0	0	4,276	3,935	0,000	0	0	0	3,935	3,935	0	32,03	13
110	Augsburg UAS	3,990	0,000	0	0	1	0,000	3,966	0,000	0	0	0	3,966	3,966	0	31,08	14
13	Berlin TU	4,066	0,000	0	0	0	4,066	4,134	0,000	0	0	0	4,134	4,066	0	28,11	15
124	Tallinn TU UAS	3,817	0,300	0	0	0	4,117	3,766	0,300	0	0	1	0,000	4,117	0	26,65	16
97	Schweinfurt UAS	4,309	0,000	0	0	0	4,309	4,139	0,000	0	0	0	4,139	4,139	0	26,04	17
29	Bayreuth U	4,307	0,000	0	0	0	4,307	0,000	0,000	0	0	0	0,000	4,307	0	21,53	18
47	Corvallis OSU	4,319	0,000	0	0	0	4,319	4,341	0,000	0	0	0	4,341	4,319	0	21,22	19
44	Ulm UAS	4,487	0,300	0	0	0	4,787	4,228	0,300	0	0	0	4,528	4,528	0	16,11	20
168	Mannheim UAS	4,549	0,000	0	0	0	4,549	4,744	0,000	0	0	0	4,744	4,549	0	15,62	21
33	Zürich ETH	4,580	0,000	0	0	0	4,580	7,828	0,000	0	0	0	7,828	4,580	0	14,91	22
34	Ingolstadt UAS	4,613	0,000	0	0	0	4,613	4,594	0,000	0	0	0	4,594	4,594	0	14,59	23
79	Pforzheim U	4,634	0,000	0	0	0	4,634	5,440	0,000	0	0	0	5,440	4,634	0	13,70	24
51	Sevilla U	4,428	0,300	0	0	0	4,728	4,471	0,300	0	0	0	4,771	4,728	0	11,64	25
69	Mannheim DHBW	4,875	0,000	0	0	0	4,875	4,761	0,000	0	0	0	4,761	4,761	0	10,94	26
161	Göttingen HAWK	5,449	0,000	0	0	0	5,449	4,875	0,000	0	0	0	4,875	4,875	0	8,59	27
78	Hamburg TU	4,038	1,000	0	0	0	5,038	4,015	1,000	0	0	0	5,015	5,015	0	5,86	28
16	Winterthur ZHAW	5,585	0,000	0	0	0	5,585	5,368	0,000	0	0	0	5,368	5,368	0	3,50	29
24	Darmstadt TU	5,530	0,000	0	0	0	5,530	5,518	0,000	0	0	0	5,518	5,518	0	3,50	29
43	Konstanz UAS	5,534	0,000	0	0	0	5,534	5,490	0,000	0	0	0	5,490	5,490	0	3,50	29
50	Lisboa IST		0,000	0	1	0	0,000	5,870	0,000	0	0	0	5,870	5,870	0	3,50	29
55	Be'er Sheva BGU	8,543	0,000	0	0	0	8,543	11,703	0,300	0	0	0	12,003	8,543	0	3,50	29
66	Nürnberg GSO UAS	3,998	0,000	0	0	1	0,000	7,940	0,000	0	0	0	7,940	7,940	0	3,50	29
99	Aachen RWTH	6,591	0,000	0	0	0	6,591	6,215	0,000	0	0	0	6,215	6,215	0	3,50	29
102	Siegen U	7,921	0,000	0	0	0	7,921	0,000	0,000	0	0	0	0,000	7,921	0	3,50	29
169	Hamburg UAS	5,538	0,000	0	0	0	5,538	5,524	0,000	0	0	1	0,000	5,538	0	3,50	29
12	Wrocław TU	0,000	0,000	0	0	0	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	38
15	Madrid TU	0,000	0,000	0	0	0	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	38
21	Terrassa ESEIAAT	6,385	0,000	0	0	1	0,000	6,390	0,000	0	0	1	0,000	0,000	0	0,00	38
26	Stuttgart U	3,393	0,000	0	0	1	0,000	3,390	0,000	0	0	1	0,000	0,000	0	0,00	38
27	Mumbai Somaiya	0,000	0,000	0	0	0	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	38
28	Kassel U	0,000	0,000	0	0	0	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	38
30	Kempten UAS	0,000	0,000	0	0	0	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	38
36	Chemnitz TU	0,000	0,000	0	0	0	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	38
46	Turin PT	0,000	0,000	0	0	0	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	38
48	Bochum U	0,000	0,000	0	0	0	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	38
49	Erlangen U	0,000	0,000	0	0	0	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	38
54	Barcelona UPC	3,739	0,000	0	0	1	0,000	4,174	0,000	0	0	1	0,000	0,000	0	0,00	38
58	Paderborn U	4,112	0,000	0	0	1	0,000	4,095	0,300	0	0	1	0,000	0,000	0	0,00	38
60	Weingarten UAS	0,000	0,000	0	0	0	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	38
62	Regensburg OTH	0,000	0,000	0	0	0	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	38
65	Wiesbaden UAS	0,000	0,000	0	0	0	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	38
76	Freiberg TU	0,000	0,000	0	0	0	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	38
77	Diepholz UAS	0,000	0,000	0	0	0	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	38
90	Milano PT	4,089	0,000	0	0	1	0,000	4,137	0,000	0	0	1	0,000	0,000	0	0,00	38
91	Braunschweig TU	0,000	0,000	0	0	0	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	38
94	Esslingen UAS	0,000	0,000	0	0	0	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	38
98	Helsinki UAS	0,000	0,000	0	0	0	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	38
111	Trento U	0,000	0,000	0	0	0	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	38
127	Lausanne EPFL	4,595	0,000	0	0	1	0,000	4,728	0,000	0	0	1	0,000	0,000	0	0,00	38
135	Belgrade U	0,000	0,000	0	0	0	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	38
159	Ljubljana U	0,000	0,000	0	0	0	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	38
167	Osnabrück UAS	0,000	0,000	0	0	0	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	38
172	Dortmund TU	0,000	0,000	0	0	0	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	38
800	Enschede U Twente	0,000	0,000	0	0	0	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	38
