Car	City_University	Time_sec	Cones	OffCourse	MissedSlalom	OutOfOrder	Flag	OverDr	VehicleContact	DriverChange_sec	PenaltyTime_sec	Corr_Time_sec	Penalty	Scores	Placing
26	Stuttgart U	1381,80	7	0	0	0	0	0	0	0,00	0,00	1395,80	0	250,00	1
177	Stuttgart DHBW	1442,92	5	0	0	0	0	0	0	0,00	0,00	1452,92	0	214,59	2
45	Sankt Augustin UAS	1643,52	4	0	0	0	0	0	0	0,00	0,00	1651,52	0	110,54	3
102	Siegen U	1657,34	4	0	0	0	0	0	0	0,00	0,00	1665,34	0	104,23	4
68	Hsinchu NTHU	1683,61	9	0	0	0	0	0	0	0,00	0,00	1701,61	0	88,13	5
14	Budapest TU	1711,16	2	0	0	0	0	0	0	0,00	0,00	1715,16	0	82,30	6
99	Aachen RWTH	1634,01	7	0	0	1	0	0	0	0,00	0,00	1768,01	0	60,39	7
161	Göttingen HAWK	1751,82	10	1	0	0	0	0	0	0,00	0,00	1781,82	0	54,87	8
47	Corvallis OSU	1778,06	3	0	0	0	0	0	0	0,00	0,00	1784,06	0	53,99	9
50	Lisboa IST	1820,10	13	0	0	0	0	0	0	0,00	0,00	1846,10	0	30,31	10
41	Wien TU	2007,97	4	0	0	0	0	0	0	0,00	0,00	0,00	0	25,00	11
43	Konstanz UAS	1837,40	20	0	0	0	0	0	0	0,00	0,00	0,00	0	25,00	11
51	Sevilla U	1900,14	1	0	0	0	0	0	0	28,00	0,00	0,00	0	25,00	11
69	Mannheim DHBW	2167,73	2	0	0	1	0	0	0	30,00	0,00	0,00	0	25,00	11
111	Trento U	2111,02	6	0	0	0	0	0	0	0,00	0,00	0,00	0	25,00	11
127	Lausanne EPFL	1942,53	0	0	0	0	0	0	0	0,00	0,00	0,00	0	25,00	11
168	Mannheim UAS	1833,10	7	0	0	1	0	0	0	0,00	0,00	0,00	0	25,00	11
12	Wrocław TU	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
13	Berlin TU	1475,23	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
15	Madrid TU	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
16	Winterthur ZHAW	306,10	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
21	Terrassa ESEIAAT	0,00	0	0	0	1	0	0	0	0,00	0,00		0	0,00	18
23	Amberg OTH	451,20	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
24	Darmstadt TU	1535,18	0	0	0	1	0	0	0	0,00	0,00		0	0,00	18
27	Mumbai Somaiya	0,00	0	0	0	1	0	0	0	0,00	0,00		0	0,00	18
28	Kassel U	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
29	Bayreuth U	302,28	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
30	Kempten UAS	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
31	München TU	517,62	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
33	Zürich ETH	758,31	0	0	0	1	0	0	0	0,00	0,00		0	0,00	18
34	Ingolstadt UAS	659,81	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
36	Chemnitz TU	2030,64	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
44	Ulm UAS	875,81	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
46	Turin PT	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
48	Bochum U	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
49	Erlangen U	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
54	Barcelona UPC	1247,96	0	0	0	1	0	0	0	17,00	0,00		0	0,00	18
55	Be'er Sheva BGU	1828,38	0	0	0	1	0	0	0	0,00	0,00		0	0,00	18
58	Paderborn U	176,45	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
59	Dresden TU	766,32	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
60	Weingarten UAS	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
62	Regensburg OTH	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
63	Trondheim NTNU	1993,90	1	0	0	0	0	0	0	0,00	0,00	0,00	0	0,00	18
65	Wiesbaden UAS	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
66	Nürnberg GSO UAS	805,46	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
67	Prague CTU	788,54	0	0	0	1	0	0	0	0,00	0,00		0	0,00	18
76	Freiberg TU	331,88	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
77	Diepholz UAS	143,68	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
78	Hamburg TU	1582,13	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
79	Pforzheim U	695,03	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
85	Delft TU	1142,27	0	0	0	0	0	0	0	2,00	0,00		0	0,00	18
90	Milano PT	1008,42	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
91	Braunschweig TU	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
94	Esslingen UAS	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
97	Schweinfurt UAS	267,18	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
98	Helsinki UAS	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
110	Augsburg UAS	1513,70	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
113	München UAS	2110,54	1	0	0	0	0	0	0	0,00	0,00	0,00	0	0,00	18
124	Tallinn TU UAS	893,52	0	0	0	1	0	0	0	0,00	0,00		0	0,00	18
135	Belgrade U	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
153	Kiel UAS	135,72	0	0	0	1	0	0	0	0,00	0,00		0	0,00	18
159	Ljubljana U	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
167	Osnabrück UAS	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
169	Hamburg UAS	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
172	Dortmund TU	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
800	Enschede U Twente	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	18
